OrderPriority,OrderPriorityPrice,Discount,UnitPrice,OrderQuantity,ShippingCost,ProductBaseMargin,Profit
High,10,0.05,81,11,30,0.4,281.85
High,10,0,6,2,10,0.37,-5.56
Critical,15,0.03,194,11,12,0.59,1183.04
Critical,15,0.02,121,11,59,0.75,912.63
Medium,7,0.1,7,12,5,0.35,16
Low,5,0.04,61,4,12,0.64,134.4
Critical,15,0.09,348,8,40,0.62,1435.52
Not Specified,0,0,237,34,59,0.61,4856.38
Low,5,0.04,61,1,12,0.64,24.6
Critical,15,0.09,348,2,40,0.62,328.88
Not Specified,0,0,237,9,59,0.61,1242.13
Not Specified,0,0.1,79,34,20,0.43,866.38
Low,5,0.09,9,4,1,0.38,9.44
Critical,15,0.07,8,20,1,0.35,43.8
Low,5,0.07,10,3,9,0.6,6.9
Not Specified,0,0.1,79,9,20,0.43,214.63
Low,5,0.09,9,1,1,0.38,1.61
Low,5,0.09,19,1,9,0.37,-3.68
Critical,15,0.03,4,6,1,0.38,7.4
Critical,15,0.07,8,5,1,0.35,10.2
Critical,15,0.07,417,12,75,0.79,3527.88
Low,5,0.04,9,37,6,0.38,107.22
Low,5,0.07,700,15,24,0.54,4911
Low,5,0.04,12,15,7,0.35,48.8
Medium,7,0,7,28,6,0.39,70.44
Medium,7,0.01,5,41,5,0.64,124.15
Medium,7,0.06,6,24,1,0.38,45.08
Low,5,0.04,9,9,6,0.38,21.54
Low,5,0.07,700,4,24,0.54,1292
Medium,7,0.01,5,10,5,0.64,26.5
Critical,15,0.05,6,2,2,0.38,1.96
Critical,15,0.05,6,1,2,0.38,-0.02
High,10,0.04,62,3,11,0.63,98.74
Not Specified,0,0.09,356,30,59,0.64,5815
Not Specified,0,0.04,219,8,70,0.15,113.96
Not Specified,0,0.09,356,8,59,0.64,1507.4
Not Specified,0,0.02,2,4,3,0.55,1.24
Not Specified,0,0.02,6,29,5,0.36,54.16
High,10,0.05,4,37,5,0.4,46.8
Not Specified,0,0,6,9,1,0.6,31.4
Not Specified,0,0.02,6,7,5,0.36,9.28
High,10,0.03,39,12,2,0.54,236.68
High,10,0.05,11,8,5,0.59,42.52
High,10,0.05,4,9,5,0.4,7.6
High,10,0.03,4,37,7,0.6,77.36
High,10,0.01,4,48,1,0.37,68.12
High,10,0.02,11,31,13,0.6,184.78
High,10,0.05,19,24,6,0.44,171.84
Medium,7,0.07,6,10,8,0.39,11.2
Medium,7,0.04,10,12,6,0.55,55.2
High,10,0.03,4,9,7,0.6,13.52
High,10,0.01,4,12,1,0.37,16.28
High,10,0.02,11,8,13,0.6,38.04
High,10,0.05,19,6,6,0.44,38.46
Critical,15,0.02,50,18,20,0.41,331
Critical,15,0.02,50,5,20,0.41,77.5
Low,5,0.1,5,10,1,0.36,12
Not Specified,0,0,442,40,15,0.56,9885.8
Not Specified,0,0,442,10,15,0.56,2460.2
High,10,0.08,35,13,8,0.59,224.05
Not Specified,0,0.05,5,7,5,0.64,15.65
Not Specified,0,0.02,34,11,5,0.55,193.22
High,10,0.01,21,19,53,0.78,254.23
Critical,15,0.01,14,17,9,0.43,90.96
Critical,15,0.04,33,30,9,0.61,555.3
Critical,15,0.03,38,22,13,0.57,438.44
High,10,0.01,21,5,53,0.78,27.85
Critical,15,0.01,14,4,9,0.43,14.52
Critical,15,0.04,33,8,9,0.61,141.48
Critical,15,0.01,138,4,35,0.5,235.48
Critical,15,0.03,49,3,4,0.56,73.91
Critical,15,0,301,12,165,0.56,1857.72
Critical,15,0.09,3,1,1,0.58,0.47
Low,5,0.1,51,22,22,0.55,482.9
Low,5,0.1,51,6,22,0.55,115.7
Not Specified,0,0.04,29,10,9,0.42,101.2
Not Specified,0,0,81,8,35,0.83,502.84
High,10,0.06,8,1,2,0.52,1.68
Critical,15,0.09,36,20,6,0.38,202.8
Critical,15,0.02,5,6,3,0.38,7.8
Critical,15,0.03,41,6,7,0.37,76.64
Medium,7,0.07,8,6,2,0.52,19.6
Medium,7,0.03,500,5,24,0.36,801
Medium,7,0.06,196,6,9,0.6,626.04
Medium,7,0.1,7,5,2,0.39,8.15
Critical,15,0.09,36,5,6,0.38,46.2
High,10,0.1,4,2,2,0.39,0.32
Critical,15,0.08,55,4,7,0.37,56.8
Low,5,0.06,131,10,55,0.69,770.3
Critical,15,0.03,12,7,6,0.36,21.72
Low,5,0.06,131,3,55,0.69,192.59
Low,5,0.1,121,18,9,0.35,535.5
Low,5,0.08,8,23,2,0.74,119.44
Low,5,0.1,126,29,4,0.59,1786.46
Critical,15,0.07,31,46,9,0.4,461.58
Low,5,0.1,121,5,9,0.35,142.25
Low,5,0.08,8,6,2,0.74,29.68
Low,5,0.1,126,7,4,0.59,428.18
Low,5,0.09,91,10,14,0.36,231.7
Critical,15,0.07,41,8,7,0.37,91.4
High,10,0.02,11,9,11,0.36,22.66
Low,5,0.09,91,3,14,0.36,59.71
Critical,15,0.07,41,2,7,0.37,17.6
Critical,15,0.09,28,6,2,0.4,50.08
Critical,15,0,2,3,5,0.43,-2.42
Critical,15,0.06,46,10,5,0.56,225
Medium,7,0.06,3500,1,24,0.37,1061
Medium,7,0.1,31,29,4,0.75,580.35
Not Specified,0,0,8,47,2,0.52,193.52
Not Specified,0,0,4,1,1,0.38,0.52
Not Specified,0,0.02,176,4,5,0.59,396.28
High,10,0.08,171,1,36,0.66,63.18
Not Specified,0,0,8,12,2,0.52,47.92
Low,5,0.08,2,9,5,0.43,1.3
Critical,15,0.02,281,14,57,0.78,2932.84
Low,5,0.06,10,1,2,0.36,1
Low,5,0.1,206,2,9,0.56,180.52
Critical,15,0.02,281,4,57,0.78,797.24
Critical,15,0.05,108,25,6,0.65,1614
Critical,15,0.05,108,6,6,0.65,382.8
Low,5,0.08,296,5,54,0.76,952.4
Not Specified,0,0.05,10,11,1,0.39,36.4
Not Specified,0,0.02,3,7,4,0.56,7.34
Not Specified,0,0.08,11,11,3,0.38,33.3
Medium,7,0.02,35,1,8,0.76,17.9
Medium,7,0.01,20,2,11,0.6,12.6
Not Specified,0,0.05,6,16,7,0.37,23.72
Not Specified,0,0.06,114,3,30,0.69,185.46
Not Specified,0,0.05,6,4,7,0.37,0.68
Low,5,0.08,231,4,24,0.6,456.48
Medium,7,0.07,61,7,49,0.59,173.04
Critical,15,0.09,517,5,17,0.59,1275.5
High,10,0.07,52,50,10,0.37,770
High,10,0.1,81,11,34,0.37,206.57
High,10,0.07,52,13,10,0.37,192.8
High,10,0.1,81,3,34,0.37,31.61
Low,5,0.01,301,3,65,0.56,431.65
Critical,15,0.02,162,4,20,0.66,394.72
Low,5,0.07,401,33,48,0.36,3789.57
High,10,0.04,19,11,6,0.44,77.6
Low,5,0.01,8,9,1,0.36,24.2
Low,5,0.07,401,8,48,0.36,882.32
Medium,7,0.01,100,2,20,0.52,82
Medium,7,0.1,5,9,8,0.38,4.6
Medium,7,0,23,6,8,0.39,45.82
Low,5,0.09,6783,1,24,0.06,-261.41
Not Specified,0,0.06,9,9,6,0.38,19.92
High,10,0.06,100,3,20,0.52,118
High,10,0,193,5,20,0.71,665.15
High,10,0.08,21,11,3,0.81,165.63
Not Specified,0,0,74,4,15,0.65,177.4
Low,5,0.01,36,10,6,0.38,127.2
Not Specified,0,0.01,48,8,4,0.71,264.8
High,10,0.1,74,5,4,0.79,251.3
High,10,0.05,52,9,10,0.37,139.76
Medium,7,0.06,6,19,7,0.37,28.34
Medium,7,0.06,6,5,7,0.37,2.3
Critical,15,0.07,126,1,3,0.6,63.78
Critical,15,0.03,100,6,20,0.52,274
Critical,15,0.05,4,1,5,0.08,-4.88
Not Specified,0,0.02,201,45,56,0.75,6546.85
Not Specified,0,0.02,4,24,5,0.4,31.48
Not Specified,0,0.04,86,19,1,0.85,1322.54
Critical,15,0.09,154,38,69,0.68,3383.68
Medium,7,0.07,201,9,24,0.58,898.59
Medium,7,0.02,179,2,29,0.76,235.92
Not Specified,0,0.02,201,11,56,0.75,1558.03
Not Specified,0,0.02,4,6,5,0.4,4.12
Critical,15,0.95,154,10,69,0.68,-484.8
Not Specified,0,0.1,62,9,11,0.63,284.74
Medium,7,0.1,18,17,4,0.79,207.14
High,10,0.95,296,6,54,0.76,-391.44
Medium,7,0.1,18,4,4,0.79,45.68
Medium,7,0.09,126,1,9,0.55,48.96
High,10,0.08,31,3,4,0.44,29.48
Medium,7,0.01,2,4,1,0.56,3.4
Not Specified,0,0.03,14,2,5,0.46,7.04
Not Specified,0,0.07,8,3,4,0.42,4.4
High,10,0.08,69,5,60,0.41,53.85
High,10,0.04,21,4,9,0.59,37.2
Medium,7,0.04,3,25,1,0.39,25.25
Medium,7,0.01,8,10,3,0.77,57.8
Not Specified,0,0.1,6,10,5,0.4,13
Medium,7,0.01,221,44,65,0.62,5866.64
High,10,0.08,356,4,59,0.64,738.44
Critical,15,0.01,21,5,5,0.58,54.85
Not Specified,0,0.05,3,3,1,0.36,1.79
Medium,7,0.01,221,11,65,0.62,1417.91
Medium,7,0.01,79,8,14,0.52,308.32
Critical,15,0.1,6,6,5,0.36,4.36
High,10,0.07,29,39,9,0.56,545.19
Critical,15,0.06,5,28,6,0.39,40.2
Critical,15,0.07,66,19,5,0.56,609.46
High,10,0.07,29,10,9,0.56,133.1
Critical,15,0.06,5,7,6,0.39,5.55
Critical,15,0.07,66,5,5,0.56,156.7
High,10,0.1,25,3,13,0.39,8.75
High,10,0,12,7,6,0.38,25.92
Medium,7,0.06,3,9,1,0.39,7.91
Low,5,0.06,161,30,35,0.72,3152.8
Not Specified,0,0.02,9,11,2,0.4,35.62
Not Specified,0,0.06,13,33,5,0.48,175.18
Medium,7,0.06,3,2,1,0.39,0.98
Medium,7,0.01,20,2,4,0.68,22.8
Medium,7,0.04,1638,2,24,0.81,2498.52
Low,5,0.06,161,8,35,0.72,815.08
Not Specified,0,0.02,9,3,2,0.4,8.26
Not Specified,0,0.06,13,8,5,0.48,38.68
Low,5,0.02,13,37,5,0.59,269.17
Low,5,0.02,13,9,5,0.59,61.69
High,10,0.09,6,8,6,0.37,7.44
High,10,0.03,421,10,20,0.35,1327.2
Medium,7,0,6783,3,24,0.06,1095.2
Not Specified,0,0.02,56,11,7,0.68,399.56
Low,5,0.02,48,18,5,0.37,297.4
Not Specified,0,0.03,12,27,6,0.38,107.4
Not Specified,0,0.08,15,42,5,0.81,454.9
High,10,0.07,39,4,2,0.54,71.32
High,10,0,5,2,1,0.36,2.6
Low,5,0.05,1501,1,30,0.57,750.52
Low,5,0.02,48,5,5,0.37,79
Low,5,0.03,4,1,2,0.58,0.2
Not Specified,0,0.03,161,11,30,0.62,1014.89
Medium,7,0.08,7,1,8,0.58,-4.5
Medium,7,0.1,152,4,4,0.79,415.52
Not Specified,0,0.03,12,7,6,0.38,23.4
Not Specified,0,0.01,145,8,18,0.56,620
High,10,0.05,5,20,1,0.52,46
High,10,0.01,15,28,8,0.57,227.2
Not Specified,0,0,14,36,8,0.39,188.56
Medium,7,0.09,5,25,1,0.35,31.5
Medium,7,0.07,10,45,6,0.35,120
High,10,0.05,5,5,1,0.52,10.75
Not Specified,0,0.05,12,2,6,0.6,7.2
Medium,7,0.09,5,6,1,0.35,6.8
Medium,7,0.07,10,11,6,0.35,24.8
Medium,7,0.09,139,23,52,0.74,2026.05
Not Specified,0,0.1,14,11,3,0.39,41.66
Low,5,0.08,9,2,7,0.45,-0.34
Low,5,0.03,193,8,20,0.71,1029.92
Critical,15,0.1,7,4,55,0.37,-47.44
Critical,15,0.05,90,4,20,0.4,106
Medium,7,0.02,15,2,5,0.59,12.1
Medium,7,0.95,139,6,52,0.74,-227.14
Low,5,0.05,4,47,5,0.04,-7.26
Low,5,0.01,6,9,5,0.37,14.44
Critical,15,0.01,11,20,5,0.57,118.2
Critical,15,0.07,6,5,1,0.38,8.3
Critical,15,0.06,23,1,12,0.39,-4.41
Low,5,0.05,4,12,5,0.04,-5.58
Low,5,0.01,6,2,5,0.37,-0.68
